code,system
D310100,readv2
K001.00,readv2
K01x411,readv2
K030.00,readv2
K031.00,readv2
K032.00,readv2
K032y00,readv2
K032z00,readv2
K033.00,readv2
G752111,readv2
G752112,readv2
K00..00,readv2
K00y000,readv2
K00z.00,readv2
K0A0.00,readv2
K00..12,readv2
K000.00,readv2
K010.00,readv2
K032y15,readv2
K0A2300,readv2
K01..00,readv2
K013.12,readv2
K01x.00,readv2
K01x000,readv2
K01x200,readv2
K01x300,readv2
K01x400,readv2
K01z.00,readv2
K012.00,readv2
K032000,readv2
K013.00,readv2
K0A4W00,readv2
K0A4X00,readv2
K013.11,readv2
K032300,readv2
100558.0,med
101358.0,med
101572.0,med
105723.0,med
105859.0,med
107045.0,med
107564.0,med
107814.0,med
10809.0,med
108711.0,med
108816.0,med
109945.0,med
12465.0,med
15097.0,med
16008.0,med
17060.0,med
17365.0,med
1803.0,med
19316.0,med
20027.0,med
20074.0,med
20129.0,med
2088.0,med
21297.0,med
21423.0,med
21947.0,med
21989.0,med
22205.0,med
22852.0,med
22897.0,med
23913.0,med
27427.0,med
29384.0,med
29634.0,med
2999.0,med
30301.0,med
31581.0,med
34998.0,med
36125.0,med
36342.0,med
40349.0,med
40413.0,med
41285.0,med
41881.0,med
43611.0,med
44541.0,med
44804.0,med
4669.0,med
47672.0,med
47838.0,med
47922.0,med
49642.0,med
50200.0,med
50305.0,med
50472.0,med
5182.0,med
5291.0,med
54312.0,med
55389.0,med
55548.0,med
56893.0,med
56987.0,med
57168.0,med
57926.0,med
58060.0,med
58164.0,med
58750.0,med
59992.0,med
60128.0,med
60198.0,med
60484.0,med
60856.0,med
60857.0,med
60960.0,med
61317.0,med
61494.0,med
61811.0,med
61814.0,med
62320.0,med
62520.0,med
62868.0,med
63599.0,med
63615.0,med
65064.0,med
65400.0,med
66136.0,med
66503.0,med
66505.0,med
66613.0,med
67193.0,med
67460.0,med
67995.0,med
68364.0,med
71174.0,med
7164.0,med
71709.0,med
7190.0,med
71964.0,med
73026.0,med
7804.0,med
85659.0,med
8668.0,med
94350.0,med
94373.0,med
95546.0,med
97388.0,med
97734.0,med
97758.0,med
9840.0,med
99201.0,med
99644.0,med
99685.0,med
K014.00,readv2
K015.00,readv2
K0A..00,readv2
K0A0000,readv2
K0A0100,readv2
K0A2000,readv2
K0A2100,readv2
K016.00,readv2
K017.00,readv2
K03U.00,readv2
K03W.00,readv2
K03X.00,readv2
K0A0200,readv2
K0A0700,readv2
K0A1100,readv2
K0A1700,readv2
Kyu0900,readv2
K018.00,readv2
K019.00,readv2
K032y13,readv2
K032y14,readv2
K0A2500,readv2
K01A.00,readv2
K03V.00,readv2
K0A0600,readv2
K02..00,readv2
K020.00,readv2
K021.00,readv2
K022.00,readv2
K023.00,readv2
K02y.00,readv2
K02y000,readv2
K02y200,readv2
K02y300,readv2
K02yz00,readv2
K02z.00,readv2
K0A3.00,readv2
K0A3000,readv2
K0A3100,readv2
K0A3200,readv2
K0A3600,readv2
K0A3700,readv2
K032100,readv2
K032200,readv2
K032600,readv2
K0A2800,readv2
K032y11,readv2
K0A2.00,readv2
K0A2200,readv2
K0A2600,readv2
K0A2700,readv2
K03z.00,readv2
K072.00,readv2
K0A0300,readv2
K0A0400,readv2
K0A0500,readv2
K0A1200,readv2
K0A1300,readv2
K0A1400,readv2
K0A3300,readv2
K0A3500,readv2
K0A1.00,readv2
K0A1600,readv2
K0A8.00,readv2
K0A4.00,readv2
K0A4300,readv2
K0A4500,readv2
K0A4100,readv2
K0A4200,readv2
K0A7.00,readv2
N00.0,icd10
N01.0,icd10
N02.0,icd10
N03.0,icd10
N04.0,icd10
N05.0,icd10
N06.0,icd10
N00.1,icd10
N01.1,icd10
N02.1,icd10
N03.1,icd10
N04.1,icd10
N05.1,icd10
N06.1,icd10
N00.3,icd10
N01.3,icd10
N02.3,icd10
N03.3,icd10
N04.3,icd10
N05.3,icd10
N06.3,icd10
N00.4,icd10
N01.4,icd10
N02.4,icd10
N03.4,icd10
N04.4,icd10
N05.4,icd10
N00.5,icd10
N01.5,icd10
N02.5,icd10
N03.5,icd10
N04.5,icd10
N05.5,icd10
N06.5,icd10
N00.6,icd10
N02.6,icd10
N03.6,icd10
N04.6,icd10
N05.6,icd10
N06.6,icd10
N00.9,icd10
N01.9,icd10
N02.9,icd10
N03.9,icd10
N04.9,icd10
N05.9,icd10
N06.9,icd10
